symbol,name,tdx_api_mkt,code
SH600118,中国卫星,1,600118
SH600116,三峡水利,1,600116
SH600114,东睦股份,1,600114
SH600113,浙江东日,1,600113
SH600111,北方稀土,1,600111
SH600110,诺德股份,1,600110
SH600109,国金证券,1,600109
SH600104,上汽集团,1,600104
SH600101,明星电力,1,600101
SH600097,开创国际,1,600097
SH600096,云天化,1,600096
SH600095,湘财股份,1,600095
SH600089,特变电工,1,600089
SH600085,同仁堂,1,600085
SH600079,人福医药,1,600079
SH688499,利元亨,1,688499
SH688498,源杰科技,1,688498
SH688489,三未信安,1,688489
SH688475,萤石网络,1,688475
SH688468,科美诊断,1,688468
SH688456,有研粉材,1,688456
SH688439,振华风光,1,688439
SH688432,有研硅,1,688432
SH688428,诺诚健华-U,1,688428
SH688410,山外山,1,688410
SH688409,富创精密,1,688409
SH688408,中信博,1,688408
SH688403,汇成股份,1,688403
SH688396,华润微,1,688396
SH688392,骄成超声,1,688392
SH688391,钜泉科技,1,688391
SH688390,固德威,1,688390
SH688389,普门科技,1,688389
SH688388,嘉元科技,1,688388
SH688386,泛亚微透,1,688386
SH688385,复旦微电,1,688385
SH688383,新益昌,1,688383
SH688381,帝奥微,1,688381
SH688380,中微半导,1,688380
SH688378,奥来德,1,688378
SH688376,美埃科技,1,688376
SH688373,盟科药业-U,1,688373
SH688372,伟测科技,1,688372
SH688368,晶丰明源,1,688368
SH688366,昊海生科,1,688366
SH688363,华熙生物,1,688363
SH688362,甬矽电子,1,688362
SH688359,三孚新科,1,688359
SH688358,祥生医疗,1,688358
SH688357,建龙微纳,1,688357
SH688356,键凯科技,1,688356
SH688351,微电生理-U,1,688351
SH688349,三一重能,1,688349
SH688348,昱能科技,1,688348
SH688345,博力威,1,688345
SH688339,亿华通-U,1,688339
SH688338,赛科希德,1,688338
SH688333,铂力特,1,688333
SH688331,荣昌生物,1,688331
SH688326,经纬恒润-W,1,688326
SH688321,微芯生物,1,688321
SH688320,禾川科技,1,688320
SH688318,财富趋势,1,688318
SH688317,之江生物,1,688317
SH688315,诺禾致源,1,688315
SH688311,盟升电子,1,688311
